"ControllerFile","HttpVerb","RouteTemplate","MethodName"
"SelfServiceRequestsController.cs","POST","api/clinic/self-service-requests/{requestId:guid}/reject","Reject"
"SelfServiceRequestsController.cs","POST","api/clinic/self-service-requests/{requestId:guid}/request-reupload","RequestReupload"
"SelfServiceRequestsController.cs","POST","api/clinic/self-service-requests/{requestId:guid}/adjust-paid-amount","AdjustPaidAmount"
"StaffController.cs","POST","api/clinic/staff","CreateStaff"
"StaffController.cs","POST","api/clinic/staff/payroll-only","CreatePayrollOnlyWorker"
"StaffController.cs","GET","api/clinic/staff","GetAllStaff"
"StaffController.cs","GET","api/clinic/staff/{id:guid}","GetStaffById"
"StaffController.cs","PUT","api/clinic/staff/{id:guid}","UpdateStaff"
"StaffController.cs","PATCH","api/clinic/staff/{id:guid}","PatchStaff"
"StaffController.cs","POST","api/clinic/staff/{id:guid}/enable","EnableStaff"
"StaffController.cs","POST","api/clinic/staff/{id:guid}/disable","DisableStaff"
"SubscriptionsController.cs","POST","api/platform/subscriptions","CreateSubscription"
"SubscriptionsController.cs","GET","api/platform/subscriptions","GetAllSubscriptions"
"SubscriptionsController.cs","POST","api/platform/subscriptions/{id}/extend","ExtendSubscription"
"SubscriptionsController.cs","POST","api/platform/subscriptions/{id}/cancel","CancelSubscription"
"SubscriptionsController.cs","POST","api/platform/subscriptions/{id}/mark-paid","MarkPaid"
"TenantsController.cs","POST","api/platform/tenants","CreateTenant"
"TenantsController.cs","GET","api/platform/tenants","GetAllTenants"
"TenantsController.cs","GET","api/platform/tenants/{id}","GetTenantById"
"TenantsController.cs","PUT","api/platform/tenants/{id}","UpdateTenant"
"TenantsController.cs","POST","api/platform/tenants/{id}/activate","ActivateTenant"
"TenantsController.cs","POST","api/platform/tenants/{id}/suspend","SuspendTenant"
"TenantsController.cs","POST","api/platform/tenants/{id}/block","BlockTenant"
"TenantsController.cs","DELETE","api/platform/tenants/{id}","DeleteTenant"
"VisitsController.cs","POST","api/clinic/visits","CreateVisit"
"VisitsController.cs","PUT","api/clinic/visits/{id:guid}","UpdateVisit"
"VisitsController.cs","POST","api/clinic/visits/{id:guid}/complete","CompleteVisit"
"VisitsController.cs","GET","api/clinic/visits/{id:guid}","GetVisit"
"VisitsController.cs","GET","api/clinic/patients/{patientId:guid}/visits","GetPatientVisits"
"VisitsController.cs","GET","api/clinic/patients/{patientId:guid}/summary","GetPatientSummary"
"VisitsController.cs","GET","api/clinic/visits/my","GetMyVisits"
"VisitsController.cs","GET","api/clinic/visits/my/patients","GetMyPatients"
"VisitsController.cs","GET","api/clinic/visits/maintenance/stale-open","GetStaleOpenVisits"
"VisitsController.cs","POST","api/clinic/visits/maintenance/{id:guid}/close","CloseStaleVisit"
"VisitsController.cs","POST","api/clinic/visits/{id:guid}/inventory-usage","RecordInventoryUsage"
"WorkforceController.cs","POST","api/clinic/workforce/doctors/{doctorId:guid}/compensation-rules","CreateCompensationRule"
"WorkforceController.cs","GET","api/clinic/workforce/doctors/{doctorId:guid}/compensation-rules","ListCompensationRules"
"WorkforceController.cs","POST","api/clinic/workforce/attendance","CreateAttendance"
"WorkforceController.cs","POST","api/clinic/workforce/absence","CreateAbsence"
"WorkforceController.cs","GET","api/clinic/workforce/absence","ListAbsence"
"WorkforceController.cs","PUT","api/clinic/workforce/attendance/{attendanceId:guid}/checkout","CheckOutAttendance"
"WorkforceController.cs","GET","api/clinic/workforce/attendance","ListAttendance"
"WorkforceController.cs","POST","api/clinic/workforce/salary-payouts","CreateSalaryPayout"
"WorkforceController.cs","POST","api/clinic/workforce/daily-closing/generate","GenerateDailyClosing"
"WorkforceController.cs","GET","api/clinic/workforce/daily-closing","GetDailyClosingSnapshots"
