File,Line,RouteLiteral
Frontend/actions/visit/get-visit.ts,22,/api/clinic/visits/${visitId}
Frontend/actions/visit/update-visit.ts,16,/api/clinic/visits/${visitId}
Frontend/actions/workforce/workforce.ts,35,/api/clinic/workforce/doctors/${doctorId}/compensation-rules
Frontend/actions/workforce/workforce.ts,55,/api/clinic/workforce/doctors/${doctorId}/compensation-rules
Frontend/actions/workforce/workforce.ts,75,/api/clinic/workforce/attendance${toDateRangeQuery(filters)}
Frontend/actions/workforce/workforce.ts,95,/api/clinic/workforce/attendance
Frontend/actions/workforce/workforce.ts,114,/api/clinic/workforce/attendance/${attendanceId}/checkout
Frontend/actions/workforce/workforce.ts,133,/api/clinic/workforce/absence${toDateRangeQuery(filters)}
Frontend/actions/workforce/workforce.ts,153,/api/clinic/workforce/absence
Frontend/actions/workforce/workforce.ts,176,/api/clinic/workforce/salary-payouts
Frontend/actions/workforce/workforce.ts,195,/api/clinic/workforce/daily-closing/generate${query}
Frontend/actions/workforce/workforce.ts,219,/api/clinic/workforce/daily-closing${query ? 
Frontend/app/(platform)/admin/(dashboard)/layout.tsx,10,/api/Auth/me
Frontend/app/[tenantSlug]/layout.tsx,16,${process.env.NEXT_PUBLIC_API_URL}/api/public/${tenantSlug}/clinic
