HttpVerb,RouteTemplate,ControllerFile,MethodName,Status,FrontendMethod,FrontendRouteLiteral,FrontendFile,Note
PATCH,api/clinic/invoices/{id:guid},InvoicesController.cs,PatchInvoice,wired,PATCH,/api/clinic/invoices/${invoiceId},Frontend/actions/finance/invoices.ts:51,matched method and normalized route in actions
GET,api/clinic/invoices/{id:guid},InvoicesController.cs,GetInvoice,wired,GET,/api/clinic/invoices/${invoiceId},Frontend/actions/finance/invoices.ts:65,matched method and normalized route in actions
GET,api/clinic/invoices,InvoicesController.cs,GetInvoices,wired,GET,/api/clinic/invoices,Frontend/actions/finance/invoices.ts:22,matched method and normalized route in actions
POST,api/clinic/payments,InvoicesController.cs,RecordPayment,wired,POST,/api/clinic/payments,Frontend/actions/finance/invoices.ts:33,matched method and normalized route in actions
POST,api/clinic/invoices/{id:guid}/adjustments,InvoicesController.cs,AddAdjustment,wired,POST,/api/clinic/invoices/${invoiceId}/adjustments,Frontend/actions/finance/invoices.ts:105,matched method and normalized route in actions
POST,api/clinic/invoices/{id:guid}/line-items,InvoicesController.cs,AddLineItem,wired,POST,/api/clinic/invoices/${invoiceId}/line-items,Frontend/actions/finance/invoices.ts:83,matched method and normalized route in actions
POST,api/clinic/invoices/{id:guid}/refund,InvoicesController.cs,Refund,wired,POST,/api/clinic/invoices/${invoiceId}/refund,Frontend/actions/finance/invoices.ts:129,matched method and normalized route in actions
GET,api/clinic/invoices/{id:guid}/payments,InvoicesController.cs,GetPayments,wired,GET,/api/clinic/invoices/${invoiceId}/payments,Frontend/actions/finance/invoices.ts:150,matched method and normalized route in actions
POST,api/clinic/visits/{visitId:guid}/labs,LabRequestsController.cs,Create,wired,POST,/api/clinic/visits/${visitId}/labs,Frontend/actions/labs/create-lab-request.ts:15,matched method and normalized route in actions
POST,api/clinic/visits/{visitId:guid}/labs/{labRequestId:guid}/partner-order,LabRequestsController.cs,CreatePartnerOrder,wired,POST,/api/clinic/visits/${visitId}/labs/${labRequestId}/partner-order,Frontend/actions/labs/create-lab-partner-order.ts:24,matched method and normalized route in actions
PUT,api/clinic/visits/{visitId:guid}/labs/{id:guid},LabRequestsController.cs,Update,wired,PUT,/api/clinic/visits/${visitId}/labs/${labId},Frontend/actions/labs/lab-requests.ts:26,matched method and normalized route in actions
POST,api/clinic/visits/{visitId:guid}/labs/{id:guid}/result,LabRequestsController.cs,AddResult,wired,POST,/api/clinic/visits/${visitId}/labs/${labId}/result,Frontend/actions/labs/lab-requests.ts:49,matched method and normalized route in actions
