HttpVerb,RouteLiteral,NormalizedRoute,FrontendFile,Line
GET,/api/clinic/patient-app/profiles/${patientId}/bookings,api/clinic/patient-app/profiles/{}/bookings,Frontend/actions/patient-app/profile.ts,69
GET,/api/clinic/patient-app/profiles/,api/clinic/patient-app/profiles,Frontend/actions/patient-app/profile.ts,79
GET,/api/clinic/patient-app/profiles/${patientId}/partner-orders,api/clinic/patient-app/profiles/{}/partner-orders,Frontend/actions/patient-app/profile.ts,79
GET,/api/clinic/patient-credits/,api/clinic/patient-credits,Frontend/actions/patient-app/profile.ts,92
GET,/api/clinic/patient-credits/${patientId}/balance,api/clinic/patient-credits/{}/balance,Frontend/actions/patient-app/profile.ts,92
GET,/api/clinic/patient-credits/,api/clinic/patient-credits,Frontend/actions/patient-app/profile.ts,107
GET,/api/clinic/patient-credits/${patientId}/history?pageNumber=${pageNumber}&pageSize=${pageSize},api/clinic/patient-credits/{}/history,Frontend/actions/patient-app/profile.ts,107
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,16
GET,/api/clinic/patients/${patientId}/medical-documents,api/clinic/patients/{}/medical-documents,Frontend/actions/patient-medical/documents.ts,16
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,28
POST,/api/clinic/patients/${patientId}/medical-documents,api/clinic/patients/{}/medical-documents,Frontend/actions/patient-medical/documents.ts,28
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,46
GET,/api/clinic/patients/${patientId}/medical-documents/${documentId},api/clinic/patients/{}/medical-documents/{},Frontend/actions/patient-medical/documents.ts,46
GET,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,61
GET,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads,api/clinic/patients/{}/medical-documents/{}/threads,Frontend/actions/patient-medical/documents.ts,61
POST,/api/clinic/patients/,api/clinic/patients,Frontend/actions/patient-medical/documents.ts,77
POST,/api/clinic/patients/${patientId}/medical-documents/${documentId}/threads,api/clinic/patients/{}/medical-documents/{}/threads,Frontend/actions/patient-medical/documents.ts,77
